"","Animal_A.tifdiff_vec.txt","Animal_B.tiffdiff_vec.txt","Animal_C.tifdiff_vec.txt","Animal_D.tifdiff_vec.txt","Animal_E.tifdiff_vec.txt","Animal_F.tifdiff_vec.txt","Animal_G.tifdiff_vec.txt","Animal_H.tifdiff_vec.txt","Animal_I.tifdiff_vec.txt","Animal_J.tifdiff_vec.txt","Animal_K.tifdiff_vec.txt","Animal_L.tifdiff_vec.txt","Animal_M.tifdiff_vec.txt","Animal_N.tifdiff_vec.txt","Animal_O.tifdiff_vec.txt","Animal_P.tiffdiff_vec.txt","Animal_R.tiffdiff_vec.txt","Animal_U.tifdiff_vec.txt","Animal_V.tifdiff_vec.txt","Animal_W.tifdiff_vec.txt","Animal_X.tifdiff_vec.txt","Animal_Y.tifdiff_vec.txt","Animal_Z.tifdiff_vec.txt","Animal_Z1.tifdiff_vec.txt","Animal_Z10.tiffdiff_vec.txt","Animal_Z2.tifdiff_vec.txt","Animal_Z4.tifdiff_vec.txt","Animal_Z6.tiffdiff_vec.txt","Animal_Z8.tiffdiff_vec.txt","Animal_Z9.tiffdiff_vec.txt"
"49",44,2.86,7.04,6.38,9.68,54.78,10.78,3.08,3.96,8.14,9.46,9.46,11.44,7.7,33,10.56,11.22,5.72,6.16,3.08,24.86,16.72,3.3,12.1,24.86,16.06,9.46,12.76,44,10.56
"50",44,2.64,7.04,5.94,9.68,55,10.78,3.08,3.96,8.14,9.24,11,11.66,7.48,33,10.56,11.22,5.72,6.16,3.08,24.86,16.72,3.52,11.66,24.86,16.28,9.46,12.76,44.22,10.78
"51",44,2.64,7.04,5.94,9.68,55.22,11.22,3.08,4.4,7.7,9.02,11,11.88,7.26,33,10.56,11,5.5,6.38,3.74,24.86,16.94,5.28,11.66,24.86,16.28,9.46,12.76,44.44,11
"52",44.66,3.08,7.04,5.94,9.68,55.22,11.22,2.64,4.4,7.7,9.02,11,11.66,8.14,33.66,10.56,11,5.28,6.38,3.96,24.86,17.16,5.06,11,24.86,16.28,9.9,12.76,44.44,11.22
"53",44.66,2.86,7.04,5.5,9.68,55.22,11.88,2.64,4.4,7.26,8.8,11,11.66,8.14,33.66,9.9,10.78,5.06,6.38,4.84,23.98,16.94,5.28,11,24.86,16.28,9.9,12.76,44.44,11.44
"54",44.66,2.86,7.04,4.84,9.68,55.22,11.88,2.2,4.4,7.26,8.58,11,12.32,8.14,33.66,9.9,10.78,5.06,5.72,5.06,23.98,16.72,5.28,10.56,24.86,16.28,10.34,14.3,44.44,11.66
"55",44,2.86,7.04,3.96,9.68,55.22,11.88,2.2,4.4,6.16,7.48,11,12.1,8.14,33.66,9.46,10.56,5.5,5.72,5.72,23.98,16.72,4.84,10.34,25.08,16.5,10.34,14.3,44.44,10.56
"56",44,2.86,7.04,3.74,9.68,55.22,11.88,1.76,4.4,6.16,7.48,11,12.1,8.8,32.34,9.46,10.34,5.5,5.72,5.94,24.2,16.94,5.06,10.12,25.3,16.72,9.68,14.3,44.44,10.78
"57",44,3.08,5.72,3.52,9.68,55.22,11.88,1.76,4.4,3.74,7.48,10.78,12.1,8.8,32.34,9.46,10.12,5.72,5.5,6.16,24.42,16.28,4.4,9.9,25.52,16.94,9.46,14.3,44.44,11
"58",44,2.86,5.72,3.52,9.68,55.22,11.88,1.76,4.4,3.74,6.16,10.56,11.88,8.8,32.34,9.46,9.9,6.38,5.5,5.94,24.64,16.28,4.4,9.68,25.74,16.94,9.24,14.3,44.44,11.22
